,Unnamed: 0,carat,cut,color,clarity,depth,table,price,volumen
0,0,0.23,4,5,4,61.5,55.0,326,38.20203
1,1,0.21,3,5,6,59.8,61.0,326,34.505856
2,2,0.23,1,5,3,56.9,65.0,327,38.076885
3,3,0.29,3,1,5,62.4,58.0,334,46.72458
4,4,0.31,1,0,4,63.3,58.0,335,51.917249999999996
8,8,0.22,0,5,5,65.1,61.0,337,36.425214000000004
10,10,0.3,1,0,6,64.0,55.0,339,49.6587
11,11,0.23,4,0,3,62.8,56.0,340,37.70442
12,12,0.22,3,4,6,60.4,61.0,342,34.715136
13,13,0.31,4,0,4,62.2,54.0,344,51.515744999999995
14,14,0.2,3,5,4,60.2,62.0,345,32.262375
15,15,0.32,3,5,7,60.9,58.0,345,51.883728000000005
16,16,0.3,4,1,4,62.0,54.0,348,50.130472
17,17,0.3,1,0,6,63.4,54.0,351,48.99609000000001
18,18,0.3,1,0,6,63.8,56.0,351,48.833658
20,20,0.3,1,1,4,63.3,56.0,351,49.64177999999999
26,26,0.24,3,1,3,62.5,57.0,355,38.635246
35,35,0.23,1,4,3,58.2,59.0,402,39.258576
36,36,0.23,1,5,3,64.1,59.0,402,36.27393
37,37,0.31,1,3,6,64.0,54.0,402,50.847224999999995
39,39,0.33,4,1,4,61.8,55.0,403,56.294722
40,40,0.33,4,1,4,61.2,56.0,403,55.563750000000006
41,41,0.33,4,0,6,61.1,56.0,403,56.385419999999996
42,42,0.26,1,2,5,65.2,56.0,403,41.863878
43,43,0.26,1,2,3,58.4,63.0,403,43.703376000000006
44,44,0.32,1,3,4,63.1,56.0,403,52.155950000000004
45,45,0.29,3,4,6,62.4,58.0,403,47.865359999999995
47,47,0.32,1,3,4,63.8,56.0,403,53.280072000000004
51,51,0.23,4,6,3,61.9,54.0,404,37.877340000000004
52,52,0.32,4,1,6,60.9,55.0,404,54.225920000000016
53,53,0.22,3,5,5,61.6,58.0,404,36.843357000000005
54,54,0.22,3,2,5,59.3,62.0,404,35.044548
55,55,0.3,4,1,4,61.0,59.0,405,48.967969999999994
56,56,0.3,3,0,4,59.3,61.0,405,50.64287399999999
59,59,0.3,1,1,6,63.2,55.0,405,49.22775000000001
60,60,0.35,4,1,3,60.9,57.0,552,57.931307999999994
61,61,0.3,3,2,6,62.6,59.0,552,48.04518600000001
62,62,0.3,4,2,6,62.5,57.0,552,49.853232000000006
63,63,0.3,4,2,6,62.1,56.0,552,49.898920000000004
64,64,0.42,3,1,4,61.5,59.0,552,68.480192
65,65,0.28,4,6,2,61.4,56.0,553,45.619044
66,66,0.32,4,1,1,62.0,55.3,553,52.97237399999999
68,68,0.31,3,6,6,61.8,58.0,553,50.362559999999995
69,69,0.24,3,5,1,60.7,58.0,553,39.431132
72,72,0.3,3,3,6,62.9,59.0,554,48.634496000000006
74,74,0.3,1,3,6,63.7,57.0,554,49.593216000000005
82,82,0.26,4,5,2,62.9,58.0,554,41.455847999999996
83,83,0.38,4,1,4,61.6,56.0,554,62.32348500000001
84,84,0.26,1,5,1,57.9,60.0,554,43.94075
85,85,0.24,3,6,1,62.3,59.0,554,37.9358
86,86,0.24,3,3,1,61.2,58.0,554,38.746224
87,87,0.24,3,3,1,60.8,59.0,554,39.23519999999999
88,88,0.24,3,3,2,60.7,58.0,554,40.449288
89,89,0.32,3,1,6,62.9,58.0,554,51.420915
90,90,0.7,4,5,6,62.5,57.0,2757,116.39627999999999
91,91,0.86,0,5,4,55.1,69.0,2757,143.71632
92,92,0.7,4,6,5,61.6,56.0,2757,113.1165
95,95,0.7,1,5,5,57.5,58.0,2759,116.66069999999999
96,96,0.7,1,4,3,59.4,62.0,2759,111.82464
97,97,0.96,0,4,4,66.3,62.0,2759,151.837455
99,99,0.8,3,3,6,61.5,58.0,2760,129.571686
101,101,0.75,3,5,6,59.9,54.0,2760,128.0208
102,102,0.74,4,6,6,61.6,55.0,2760,121.80869999999999
103,103,0.75,3,6,5,61.7,58.0,2760,121.59868499999999
